[root@factory-workspace glideinmonitor]# /usr/bin/python3 /opt/GlideinWMS/glideinmonitor/glideinmonitor/indexer/indexer.py
         4735832 function calls (4735735 primitive calls) in 62.200 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001   62.200   62.200 /opt/GlideinWMS/glideinmonitor/glideinmonitor/indexer/indexer.py:211(main)
        1    0.112    0.112   54.512   54.512 /opt/GlideinWMS/glideinmonitor/glideinmonitor/indexer/indexer.py:159(archive_files)
    11616    0.069    0.000   48.770    0.004 /usr/lib64/python3.9/tarfile.py:1949(add)
    11616    0.090    0.000   47.951    0.004 /usr/lib64/python3.9/tarfile.py:2000(addfile)
    11616    0.103    0.000   45.607    0.004 /usr/lib64/python3.9/tarfile.py:234(copyfileobj)
   110352    0.284    0.000   43.378    0.000 /usr/lib64/python3.9/gzip.py:271(write)
   104544   40.272    0.000   40.272    0.000 {method 'compress' of 'zlib.Compress' objects}
        1    0.107    0.107    7.183    7.183 /opt/GlideinWMS/glideinmonitor/glideinmonitor/indexer/indexer.py:105(determine_indexing)
    29040    5.842    0.000    5.842    0.000 {method 'find' of 'mmap.mmap' objects}
    18393    4.329    0.000    4.329    0.000 {method 'execute' of 'sqlite3.Cursor' objects}
     5808    0.050    0.000    3.770    0.001 /opt/GlideinWMS/glideinmonitor/glideinmonitor/lib/database.py:119(add_job)
    69697    3.050    0.000    3.050    0.000 {method 'read' of '_io.BufferedReader' objects}
   162624    1.864    0.000    1.864    0.000 {method 'write' of '_io.BufferedWriter' objects}
    11616    0.017    0.000    1.298    0.000 /usr/lib64/python3.9/tarfile.py:818(tobuf)
    11616    0.144    0.000    1.263    0.000 /usr/lib64/python3.9/tarfile.py:859(create_pax_header)
    23232    0.217    0.000    0.967    0.000 /usr/lib64/python3.9/tarfile.py:939(_create_header)
   110352    0.943    0.000    0.943    0.000 {built-in method zlib.crc32}
    11616    0.030    0.000    0.865    0.000 /usr/lib64/python3.9/tarfile.py:1770(close)
     6776    0.014    0.000    0.735    0.000 /opt/GlideinWMS/glideinmonitor/glideinmonitor/lib/database.py:94(needs_update)
     5808    0.022    0.000    0.706    0.000 /usr/lib64/python3.9/tarfile.py:1571(open)
     5808    0.037    0.000    0.678    0.000 /usr/lib64/python3.9/tarfile.py:1670(gzopen)
    11616    0.087    0.000    0.644    0.000 /usr/lib64/python3.9/tarfile.py:1002(_create_pax_generic_header)
     5808    0.021    0.000    0.635    0.000 /usr/lib64/python3.9/gzip.py:326(close)
        1    0.000    0.000    0.501    0.501 /opt/GlideinWMS/glideinmonitor/glideinmonitor/lib/database.py:162(commit)
        1    0.501    0.501    0.501    0.501 {method 'commit' of 'sqlite3.Connection' objects}
    30015    0.482    0.000    0.495    0.000 {built-in method io.open}
     5808    0.489    0.000    0.489    0.000 {method 'flush' of 'zlib.Compress' objects}
    11616    0.098    0.000    0.475    0.000 /usr/lib64/python3.9/tarfile.py:1818(gettarinfo)
     5808    0.037    0.000    0.470    0.000 /usr/lib64/python3.9/gzip.py:133(__init__)
    23232    0.068    0.000    0.382    0.000 /usr/lib64/python3.9/tarfile.py:221(calc_chksums)
        1    0.070    0.070    0.372    0.372 /opt/GlideinWMS/glideinmonitor/glideinmonitor/indexer/indexer.py:19(directory_jobs)
    11616    0.043    0.000    0.223    0.000 /usr/lib64/python3.9/copy.py:66(copy)
    17424    0.022    0.000    0.195    0.000 /usr/lib64/python3.9/posixpath.py:373(abspath)
    46464    0.193    0.000    0.193    0.000 {built-in method builtins.sum}
    11616    0.180    0.000    0.180    0.000 {built-in method pwd.getpwuid}
     5808    0.009    0.000    0.171    0.000 /usr/lib64/python3.9/tarfile.py:1662(taropen)
     5808    0.040    0.000    0.161    0.000 /usr/lib64/python3.9/tarfile.py:1460(__init__)
   162624    0.112    0.000    0.152    0.000 /usr/lib64/python3.9/tarfile.py:158(stn)
   116160    0.149    0.000    0.149    0.000 /usr/lib64/python3.9/tarfile.py:192(itn)
    36827    0.092    0.000    0.144    0.000 /usr/lib64/python3.9/posixpath.py:71(join)
    17424    0.094    0.000    0.143    0.000 /usr/lib64/python3.9/posixpath.py:334(normpath)
    46464    0.121    0.000    0.121    0.000 {built-in method _struct.unpack_from}
    11616    0.064    0.000    0.110    0.000 /usr/lib64/python3.9/copy.py:258(_reconstruct)
    25194    0.104    0.000    0.104    0.000 {built-in method posix.stat}
    11616    0.102    0.000    0.102    0.000 {built-in method grp.getgrgid}
     5808    0.047    0.000    0.099    0.000 /usr/lib64/python3.9/gzip.py:239(_write_gzip_header)
    24208    0.089    0.000    0.089    0.000 {method '__exit__' of '_io._IOBase' objects}
    11636    0.011    0.000    0.073    0.000 /usr/lib64/python3.9/genericpath.py:16(exists)
   110352    0.044    0.000    0.065    0.000 /usr/lib64/python3.9/_compression.py:12(_check_not_closed)
     5808    0.010    0.000    0.063    0.000 /opt/GlideinWMS/glideinmonitor/glideinmonitor/indexer/filter.py:336(add_job)
    18392    0.059    0.000    0.059    0.000 {method 'format' of 'str' objects}
    13552    0.045    0.000    0.058    0.000 {method 'readline' of '_io.TextIOWrapper' objects}
    11630    0.058    0.000    0.058    0.000 {built-in method posix.lstat}
    27123    0.019    0.000    0.058    0.000 /usr/lib64/python3.9/posixpath.py:117(splitext)
493884/493867    0.057    0.000    0.057    0.000 {built-in method builtins.len}
     5809    0.021    0.000    0.053    0.000 /usr/lib64/python3.9/queue.py:122(put)
     5808    0.050    0.000    0.050    0.000 {method '__exit__' of 'mmap.mmap' objects}
    13552    0.008    0.000    0.050    0.000 /usr/lib64/python3.9/genericpath.py:48(getsize)
    11616    0.047    0.000    0.047    0.000 {method '__reduce_ex__' of 'object' objects}
   255570    0.046    0.000    0.046    0.000 {method 'encode' of 'str' objects}
     5808    0.010    0.000    0.046    0.000 {method 'tell' of '_io._IOBase' objects}
